Timestamp,Index Value,Sentiment,Components Active,Fear&Greed,News Sentiment
2025-06-30T08:08:40.386376+00:00,64.78,Shiny,13/13,66,50.0

Component,Symbol,Score,Weight,Contribution,Status
S&P 500,SPY,67.16098381132707,0.2,13.432196762265415,Active
NASDAQ 100,QQQ,71.5297495514029,0.12,8.583569946168348,Active
Russell 2000,IWM,67.7445997218149,0.08,5.419567977745191,Active
Shanghai Composite,000001.SS,60.350101341514595,0.08,4.828008107321168,Active
Nikkei 225,^N225,68.27049340082668,0.07,4.778934538057868,Active
Hang Seng,^HSI,57.683471533798226,0.06,3.4610082920278935,Active
DAX,^GDAXI,59.29827938534891,0.05,2.964913969267446,Active
CAC 40,^FCHI,52.35083621948558,0.04,2.094033448779423,Active
BIST 100,XU100.IS,56.57553527839198,0.05,2.828776763919599,Active
Volatility Index,^VIX,96.17550289830602,0.1,9.617550289830604,Active
US 20Y Treasury,TLT,49.1741730181063,0.05,2.458708650905315,Active
Gold,GLD,55.95009581811084,0.06,3.35700574908665,Active
US Dollar Index,DX-Y.NYB,42.765175775795996,0.04,1.7106070310318398,Active
